174509,17420913
10676103,65600975
4211399,674559306
43814140,15062869
13348378,111583593
835733,54230994
11477974,156293205
84131395,348822769
104668723,9852918
16490766,525281948
21956756,472090226
5037116,49970642
14981592,15308499
19745142,333186278
19339784,654122609
19423063,212613049
6734573,4542716
304786,14051004
34191203,133092972
17222512,151282063
12353734,70107786
239520,130725814
7574801,696529789
63439129,27729880
30430,33653601
3576549,23096959
11981631,434701261
6551424,217906370
2193314,42131201
4898263,51193526
22801583,162998479
75154889,621059019
46120388,83799439
28711504,146641150
31443074,6041301
4345663,57939112
1814954,31211061
44844360,64405770
15848336,399567620
23558090,716583109
56714680,404144554
6311784,11061773
278153,65711522
185025,47184968
330628,43192623
1261954,3623050
44025432,286108332
406066,40667593
17034772,327711808
63311,13655949
151929,81598961
1450685,542931741
65915611,41881900
1703002,179344069
1226384,50613991
15199031,123870315
2774474,17778869
26471,6731432
13602871,365263843
71897736,17420913
30873659,60243197
6115458,174200859
188915,121516035
657779,190873997
21169548,472090226
96200,79585104
12450381,178991158
41370460,383093248
1544943,28928522
148037,35517126
1501599,190729906
10464497,93446075
2010320,27576132
227909,157846876
15092,31830551
4039449,186872119
705123,19784232
11993626,132145189
20923700,16473585
123221913,81598961
155810,133134007
80741,51040886
19818572,99498927
917931,221468226
11495632,191820100
155238,724712
657617,180189919
4071474,330008801
7412651,14964475
1096616,63984307
161571,134539560
45488748,110178895
4530030,32873313
28907971,39469487
1408396,17620347
95973644,214587193
836375,307213173
49933115,156498505
153197,260554261
1320573,48004987
3949379,13655949
38327267,333483116
6481596,444697672
33711476,463628495
25517624,66963716
1094878,20580498
189190,12888993
5041459,230369286
5518,52855516
660477,280608729
72877496,468515960
278153,6786166
1041752,1385122
36619112,72685026
1197350,160919119
44733677,523534328
567897,66314075
7608904,7053637
45927311,246335987
39889,17803236
60898866,13595305
53124886,357728969
20670637,639600513
5142394,128412714
47404953,79585104
4413670,46151823
48757558,19745004
1532417,234187391
123221913,45717250
102495,103766152
663432,13258039
3842800,133092972
14026360,10270250
4616906,1460385
1076226,65899476
16336606,841835
29582865,212613049
29436595,599547518
30052553,191218735
49618193,80286288
33663870,120519269
15199031,141427485
4616705,174038031
3254987,41881900
10944026,145183271
271906,37489525
8758457,112785414
7125407,217654199
15776622,614765452
6913354,447791597
12900583,4591214
26678117,42372094
16490766,51905353
1237070,93444615
2899462,99412308
2128935,138105554
2119212,51905353
3264292,7691631
378614,2928948
640208,42009758
37999241,20929025
5236035,55534429
70963368,11665526
11214426,27729880
74842886,94121845
6115458,257485422
49217418,28061676
6835891,33014811
13602871,673422692
6032823,106949285
74560659,10395188
133019,892275
12521043,2211243
58270741,436297812
79099734,400215964
1858646,212840200
5143130,6838921
48161,75224144
297042,81598961
1455846,176829714
16418197,413918947
1646875,15634981
91502735,313628863
576385,166008577
852750,140747581
64917206,111583593
5474642,110178895
112444,55626935
23423619,323591830
973709,62921553
4312191,422379561
1417183,31629751
67682506,619959033
17774687,88991896
29718261,242137258
1538165,16587283
13050025,361044034
71710042,67198520
6035284,303705119
9749173,35780977
21250475,219536756
6260009,73930305
20792991,59771425
52664,128636610
111564362,148093817
4655593,23921119
